29,31.81,Coconut Flakes,61096
46,5.52,Quail Eggs,97357
33,24.89,Whole Grain Bread,35036
3,24.83,Figs,87210
35,6.49,Couscous,10204
49,36.16,Turkey Slices,51227
36,13.55,Canned Pumpkin,97575
30,34.45,Walnuts,80177
1,15.82,Spinach,84038
7,39.75,Vanilla Extract,91107
48,1.98,Pickles,83933
33,34.64,Truffle Oil,39205
48,7.0,Balsamic Vinegar,11618
42,11.61,Honey,82169
49,10.07,Canned Corn,36719
38,15.43,Dark Chocolate,96061
73,12.83,Starfruit,25156
35,44.01,Cashews,65322
24,6.15,Dragonfruit,92294
47,1.58,Sunflower Seeds,72981
49,11.16,Raisins,80317
14,27.17,Peanut Butter,96476
1,31.91,Shrimp,59222
32,31.61,Camembert Cheese,59013
48,31.03,Honey,29339
86,1.45,Apple,17816
40,41.13,Almond Milk,98947
30,11.31,Carrot,91288
29,28.99,Raisins,41429
43,34.17,Parsley,25020
26,2.35,Avocado,63329
16,6.58,Garlic,75386
19,26.25,Pomegranate,99230
49,15.17,Dates,50303
38,20.95,Cottage Cheese,85695
31,17.18,Jicama,11062
26,17.76,Shrimp,48037
18,2.63,Smoked Salmon,45179
2,20.63,Chervil,34144
44,4.82,Ghee,61134
6,32.67,Persimmon,30585
7,18.42,Mulberries,49272
23,7.38,Green Peppers,78684
9,4.69,Cabbage,17578
11,24.75,Goat Cheese,76726
50,43.22,Coconut Water,15783
8,15.24,Canned Corn,84568
36,45.31,Whole Grain Pasta,27851
19,3.52,Sesame Oil,95874
42,30.84,Chicken Breast,67960
42,34.1,Parsley,81641
50,35.03,Truffle Oil,47662
20,14.53,Beets,89508
24,27.89,Pecans,32688
16,8.84,Whole Grain Bread,38472
21,9.03,Sesame Oil,34965
21,28.54,Dragonfruit,50095
38,15.35,Salami,90841
42,35.11,Ground Beef,56559
42,8.44,Tofu,71718
40,0.64,Carrot,80525
37,3.91,Almond Butter,11745
27,45.7,Maple Syrup,82102
28,28.4,Salmon Fillet,29569
38,9.9,Persimmon,71124
4,11.83,Clotted Cream,78499
38,22.63,Pine Nuts,38178
27,38.11,Green Tea,56143
32,1.39,Dragonfruit,57427
22,38.3,Mushrooms,41192
2,12.72,Whole Grain Pasta,69579
24,22.11,Figs,13522
11,28.59,Radish,68419
49,41.12,Milk,86740
17,21.3,Green Peppers,50567
12,0.73,Pistachios,25819
47,43.81,Black Beans,90425
39,23.44,Cucumber,84334
1,2.25,Milk,65883
23,12.51,Lemon,59312
41,27.86,Avocado,85967
31,13.68,Black Beans,56410
35,12.27,Sour Cream,73219
1,49.67,Lettuce,42274
47,19.09,Orange Juice,31088
39,23.8,Black Beans,34497
7,49.47,Trail Mix,33248
10,4.74,Basil,49304
11,33.89,Yogurt,70951
39,26.3,Mushrooms,76674
30,31.85,Green Tea,21908
2,16.79,Hummus,92988
4,24.89,Ricotta Cheese,34429
42,31.89,Raisins,13302
36,44.31,Granola,25964
25,22.9,Whole Grain Bread,49089
16,41.68,Beets,78095
81,6.11,Starfruit,35844
35,2.7,Peanut Butter,27135
43,41.8,Almond Butter,69350
19,1.72,Ground Beef,60619
17,41.72,Oats,55676
27,34.83,Beets,64404
30,25.81,Dark Chocolate,39489
11,32.72,Yogurt,72013
23,7.26,Blue Cheese,85619
11,14.06,Colby Jack Cheese,47779
39,2.86,Maple Syrup,95749
4,33.83,Camembert Cheese,78704
40,39.17,Ghee,85808
32,4.58,Sour Cream,28367
49,21.85,Tofu,80683
29,3.42,Yogurt,58545
25,48.96,Chicken Breast,33762
7,49.17,Balsamic Vinegar,12993
23,20.86,Lentils,63313
7,34.06,Feta Cheese,36120
28,29.4,Basil Pesto,79652
37,48.69,Brie Cheese,57142
10,31.22,Walnuts,82352
12,38.48,Quail Eggs,64154
46,15.06,Seaweed Snacks,79243
29,9.08,Cashew Butter,32360
15,5.44,Cabbage,84373
4,25.33,Miso Paste,92266
20,18.3,Hummus,71219
49,35.84,Pecans,37337
25,26.05,Alfalfa Sprouts,96806
34,4.12,Tamarind,43794
28,1.5,Dill,38169
25,13.19,Parsley,60114
43,28.42,Greek Yogurt,39370
49,13.26,Lime,65939
8,5.59,Zucchini,10722
45,46.57,Couscous,21788
2,40.25,Turkey Slices,14034
38,45.86,Cashews,91651
15,2.42,Apricots,41813
15,47.81,Cheddar Cheese,36012
20,30.14,Banana,79197
43,45.81,Blue Cheese,50702
14,3.28,Lettuce,12862
46,15.35,Edam Cheese,97376
22,47.76,Canned Black Olives,33253
5,25.04,Salami,43392
9,45.26,Watercress,84453
15,48.63,Edam Cheese,55667
40,37.82,Olive Oil,73637
40,46.72,Broccoli,28700
47,11.43,Dates,44951
